location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
HU,2020-01-01,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-02,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-03,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-04,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-05,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-06,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-07,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-08,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-09,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-10,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-11,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-12,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-13,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-14,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-15,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-16,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-17,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-18,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-19,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-20,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-21,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-22,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-23,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-24,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-25,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-26,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-27,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2020-01-28,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-01-29,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-01-30,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-01-31,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-01,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-02,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-03,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-04,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-05,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-06,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-07,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-08,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-09,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-10,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-11,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-12,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-13,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-14,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-15,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-16,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-17,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-18,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-19,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-20,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-21,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-22,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-23,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-24,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-25,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-26,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-27,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HU,2020-02-28,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56
HU,2020-02-29,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.56
HU,2020-03-01,Q28,Hungary,0.0,0.0,9772756,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11
